53.106885;9.385032;Rotenburg In der Ahe 29
53.108805;9.398991;Rotenburg Bahnhofstraße 1
53.108805;9.398991;Rotenburg Am Pferdemarkt
53.108805;9.398991;Rotenburg Große Straße 1
53.108805;9.398991;Rotenburg Am Pferdemarkt
53.109283;9.396129;Rotenburg Vor dem Rathaus
53.195274;10.063137;Samtgemeinde Hanstedt Schätzendorfer Straße 1
53.195274;10.063137;Harburg Schätzendorfer Straße 1 (Volksbank)
53.195274;10.063137;Samtgemeinde Hanstedt Parkplatz Volksbank Egestorf, Schätzendorfer Straße 1
53.228525;10.1691;Samtgemeinde Salzhausen Schützenplatz, Schützenstraße 4
53.228525;10.1691;Samtgemeinde Salzhausen Schützenplatz, Schützenstraße 4
53.229662;10.169711;Samtgemeinde Salzhausen Schützenplatz, Schützenstraße
53.229662;10.169711;Harburg Schützenstraße, Platz vor dem Schützenhaus,
53.258346;10.013264;Samtgemeinde Hanstedt Alter Geidenhof, Buchholzer Straße 1
53.258346;10.013264;Samtgemeinde Hanstedt Buchholzer Straße 1 - Alter Geidenhof -
53.258346;10.013264;Samtgemeinde Hanstedt Alter Geidenhof, Buchholzer Straße
53.258346;10.013264;Samtgemeinde Hanstedt Buchholzer Straße
53.264467;10.115952;Harburg Hauptstraße 9, (Parkplatz der (neuerdings ehemaligen) Volksbank Toppenstedt)
53.272219;9.731932;Tostedt Am Bahnhof 4
53.272219;9.731932;Tostedt Am Bahnhof
53.27764;9.709204;Tostedt Schützenstraße 24
53.289514;9.979406;Samtgemeinde Hanstedt Schulstraße
53.354539;10.20734;Winsen (Luhe) Bahnhofsplatz
53.354539;10.20734;Winsen (Luhe) An der Kleinbahn 3
53.362364;10.206301;Winsen (Luhe) Schloßplatz 11
53.36242;10.226212;Winsen (Luhe) Bürgerweide 20
53.363118;10.205809;Winsen (Luhe) Schloßplatz
53.366218;9.928966;Harburg Bahnhofstraße
53.366218;9.928966;Harburg Bahnhof Klecken, Gleis 1, Bahnhofstraße
53.368383;10.14759;Harburg P + R Parkplatz Ashausen, An der Bahn 1
53.385688;9.982138;Seevetal EWE-Passage Kirchstr. 26
53.385688;9.982138;Seevetal Kirchstraße
53.385688;9.982138;Seevetal EWE-Passage, Kirchstraße
53.385688;9.982138;Seevetal Kirchstraße 26
53.385688;9.982138;Seevetal EWE-Passage Kirchstraße
53.385688;9.982138;Seevetal EWE-Passage Kirchstraße
53.395004;10.039243;Seevetal Dorfhaus Maschen Schulstraße 55-57
53.423901;10.031081;Seevetal Bahnhof Meckelfeld, Fahrradunterstand, Rehmendamm
53.423901;10.031081;Seevetal Bahnhof Meckelfeld, Rehmendamm
53.449727;9.800234;Harburg Wulmstorfer Straße
53.455145;9.791393;Harburg Moorweg
53.455777;9.790579;Harburg Moorweg
53.456744;9.994114;Hamburg Neuländer Platz / Bhf.Harburg,hinterm Parkhaus / Harburger Poststraße
53.456744;9.994114;Hamburg, Harburg Neuländer Platz
53.456744;9.994114;Hamburg, Harburg Neuländer Platz hinter dem Parkhaus des Bahnhof Harburg
53.456744;9.994114;Hamburg, Harburg Bahnhof Harburg, Neuländer Platz
